market,airlineAA,airlineDL,airlineUA,airlineAL,airlineLCC,airlineWN,marketdistance,fromcenterdistance,mindistance,changeincmarket,percapitaincmarket,marketsize,wrightamendmDAL,dallasmarket,marketpresenceAA,marketpresenceDL,marketpresenceUA,marketpresenceAL,marketpresenceLCC,marketpresenceWN,mindistancefromhubAA,mindistancefromhubDL,mindistancefromhubUA,mindistancefromhubAL,mindistancefromhubLCC,mindistancefromhubWN
ABEATL,0,1,0,0,0,0,0.691999972,1.343002439,0.335306466,3.25,3.195271015,1.816542864,0,0,0.180000007,0.559090912,0.24636364,0.480303049,0.106666669,0,0.818319857,0,0.818319857,0.020989567,0,0.006918582
ABEBNA,0,0,0,1,0,0,0.685000002,1.141122937,0.335306466,3.200000048,3.085657358,1.001007318,0,0,0.203703701,0.464646459,0.205808088,0.488636374,0,0.21296297,0.549801469,0.067416497,0.549801469,0.04093463,0.038201593,0.032335535
ABECVG,0,0,0,0,0,0,0.503000021,1.22669208,0.335306466,2.449999809,3.070847034,1.232560754,0,0,0.03846154,0.646270394,0.219696969,0.363636374,0,0,0.822086394,0,0.822086394,0.008662866,0.113940015,0.092732184
ABEDAL,0,0,0,0,0,0,1.299999952,1.333661079,0.114111654,3,3.228897333,2.002419472,1,1,0.042857144,0.187662333,0.13636364,0.363636374,0,0.414285719,0.012454834,0.003559946,0.115492597,0.007775221,0.01237192,0.020558706
ABEDEN,0,0,1,1,0,0,1.539000034,1.598928213,0.335306466,4.099999905,3.491519213,1.374757171,0,0,0.278169006,0.433738798,0.470870674,0.504481435,0.080985919,0,0,0.018033331,0,0,0,0
ABEDFW,0,0,1,1,0,0,1.307999969,1.338381648,0.114111654,3,3.228897333,2.002419472,0,1,0.372611463,0.483931661,0.279675722,0.455993056,0.092356689,0,0,0,0.11144086,0.007068039,0,0.020644441
ABEFLL,0,1,0,1,0,0,1.041000009,1.902843595,0.211625397,3.25,3.115213156,1.958312154,0,0,0.19298245,0.562599659,0.162679434,0.596092522,0.114035085,0.157894731,0.76312989,0.223044857,0.76312989,0.007410407,0.001206163,0.006736733
ABEIND,0,0,0,1,0,0,0.577000022,1.158396006,0.335306466,2.75,3.138168573,1.079609156,0,0,0.239130437,0.360177875,0.326581031,0.575592875,0.038043477,0.179347828,0.437227935,0.038956404,0.437227935,0,0.109487019,0.100147158
ABELAX,0,0,0,1,0,0,2.388000011,2.402632952,0.183144793,3.450000048,3.121347189,3.067233801,0,0,0.313793093,0.455642641,0.405329168,0.515360534,0.044827588,0.168965518,0.001709598,0.00320409,0.001709598,0,0,0
ABEMCO,0,1,0,1,0,0,0.906000018,1.72954309,0.335306466,2.849999905,2.87154603,1.13113749,0,0,0.241379306,0.503918529,0.284639508,0.577429473,0.089655176,0.155172408,0.829778492,0.208846271,0.829778492,0.012345674,0.00141196,0.003557892
ABEMIA,0,0,0,1,0,0,1.062000036,1.913853526,0.211625397,3.25,3.115213156,1.958312154,0,0,0.318584085,0.477674991,0.246983111,0.571600974,0.088495575,0,0.742788434,0.212224871,0.742788434,0.007085825,0.001072196,0.006220988
